Gender,Age Group,Field of Occupation,Social Media Platforms,Time Spent on Social Media,Devices Used,Preferred Medium,Logged in Frequency,Social Media Use in Office,Routine at Work,Importance to Daily Worklife,Addicted to Social Media,Distraction at Work,Activities on Social Media,Impact on Goals,Impact on general Output
Male,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,Yes,Yes,Yes,,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,No,No,Yes,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,Yes,Yes,No,No,"Check Newsfeed,Chat,Others",Yes,Greatly
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)","twitter,Instagram",Frequently,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,No,No,Yes,No,No,Others,Yes,Partly
Female,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,Yes,Yes,Yes,Yes,Yes,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Instagram,Frequently,No,No,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Prefer not to say,No,Check news feed ,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,No,No,No,No,No,Chat,Yes,Partly
Female,15 - 24,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","Instagram,Twitter,Facebook",Occasionally,Yes,Yes,Yes,Yes,Yes,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,No,No,Yes,No,No,Chat,No,Others
Female,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,Yes,Yes,Yes,No,Others,Yes,Greatly
Female,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",Facebook,Frequently,Yes,Yes,Yes,Prefer not to say,Yes,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,No,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,1,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Frequently,No,Yes,Yes,No,Yes,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,1,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Frequently,No,Yes,Yes,Yes,Yes,Check Newsfeed ,Yes,Partly
Male,45 - 64,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,Yes,No,Chat,Yes,Greatly
Male,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Partly
Male,45 - 64,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,No,Prefer not to say,No,Chat,Yes,Others
Male,25 - 44,Freelancer,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Never,Yes,No,No,Yes,Prefer not to say,"Check Newsfeed,Play games,Others",Yes,Greatly
Female,15 - 24,Unemployed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",Others,Occasionally,Yes,No,No,No,Yes,Chat,No,Partly
Female,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","Facebook,Others",Frequently,Yes,Yes,Yes,No,No,"Check Newsfeed,Chat,Play games",Yes,Greatly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)","facebook,Others",Frequently,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,No,Yes,"Check Newsfeed,Chat,Play games,Others",Yes,Greatly
Male,45 - 64,Employed,1,Less than 1 hour,"Smart phones (Android,iOS,etc)",Twitter,Frequently,No,Yes,Yes,Prefer not to say,No,"Check Newsfeed,Chat",Yes,Greatly
Female,25 - 44,Employed,1,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops,Others",Facebook,Frequently,Yes,Yes,Yes,Prefer not to say,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,1,Less than 1 hour,"Smart phones (Android,iOS,etc),Laptops,Others",Facebook,Occasionally,Yes,No,Yes,No,No,Chat,Yes,Partly
Male,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops,Others",facebook,Frequently,No,No,Prefer not to say,No,Prefer not to say,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc),Laptops,Others",Others,Occasionally,Yes,No,Prefer not to say,No,No,Check Newsfeed ,Yes,Partly
Female,25 - 44,Unemployed,More than 3,Less than 1 hour,"Smart phones (Android,iOS,etc),Laptops,Others",Others,Frequently,Yes,No,Yes,No,No,Chat,Yes,Partly
Male,25 - 44,Employed,2,Less than 1 hour,Laptops,Twitter,Frequently,Yes,Yes,Yes,Prefer not to say,No,Others,Yes,Greatly
Male,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,No,No,No,No,Yes,Check Newsfeed ,No,Badly
Female,15 - 24,Unemployed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc),Laptops",facebook,Frequently,Yes,No,Yes,No,No,Check Newsfeed ,No,Others
Male,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","facebook,Others",Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,No,Partly
Female,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Others,Occasionally,Yes,No,No,No,No,Check Newsfeed ,No,Others
Male,25 - 44,Freelancer,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook. Twitter,Occasionally,Yes,No,Prefer not to say,Yes,Yes,Check Newsfeed ,No,Partly
Male,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops",fcaebook,Frequently,Yes,No,Prefer not to say,Prefer not to say,No,Check Newsfeed,Yes,Greatly
Male,25 - 44,Employed,More than 3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,Yes,Yes,Yes,No,No,Others,Yes,Greatly
Male,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,No,No,Yes,No,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,No,Yes,Yes,Prefer not to say,Others,Yes,Greatly
Male,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,No,No,No,No,No,"Check Newsfeed,Chat",No,Badly
Male,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,More than 3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Facebook,Frequently,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",Facebook,Occasionally,Yes,No,Yes,No,No,"Check Newsfeed,Chat",Yes,Partly
Male,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",Others,Occasionally,Yes,Yes,No,No,No,"Check Newsfeed,Chat",Yes,Greatly
Female,25 - 44,Employed,More than 3,2 Hours and above,Laptops,facebook,Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,More than 3,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,Yes,Prefer not to say,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc),Laptops",facebook,Frequently,Yes,Yes,No,No,Yes,"Check Newsfeed,Chat",No,Others
Male,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","facebook,instagram",Frequently,Yes,No,Prefer not to say,Yes,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,,No,Yes,Prefer not to say,Yes,Check Newsfeed ,Yes,Greatly
Male,45 - 64,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Partly
Female,15 - 24,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",Twitter,Occasionally,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Greatly
Female,45 - 64,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,Yes,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",Facebook,Frequently,Yes,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Unemployed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Facebook,Frequently,No,Yes,Yes,No,Yes,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","Instagram,Others",Frequently,Yes,No,Yes,No,Yes,Check Newsfeed ,Yes,"Greatly,Others"
Male,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc),Laptops",Facebook,Frequently,Yes,Yes,Yes,No,No,"Check Newsfeed,Chat",Yes,Greatly
Male,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,Yes,Prefer not to say,No,No,Check Newsfeed ,Yes,Others
Male,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc),Laptops",facebook,Frequently,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,No,Yes,Check Newsfeed ,No,Partly
Male,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc),Laptops",facebook,Occasionally,Yes,,Yes,No,No,"Check Newsfeed,Chat,Play games,Others",Yes,Greatly
Male,25 - 44,Freelancer,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,No,Yes,No,Check Newsfeed ,No,Partly
Female,25 - 44,Freelancer,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Female,15 - 24,Unemployed,More than 3,2 Hours and above,Laptops,facebook,Occasionally,Yes,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Male,15 - 24,,2,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Female,15 - 24,Unemployed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Facebook,Occasionally,No,Yes,No,Yes,Yes,Check Newsfeed ,Yes,Greatly
Female,15 - 24,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,No,Yes,Yes,Yes,Yes,Check Newsfeed ,Yes,Greatly
Female,15 - 24,Unemployed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,Yes,Prefer not to say,Check Newsfeed ,Yes,Greatly
Female,15 - 24,Unemployed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Frequently,No,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Female,15 - 24,Unemployed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,No,No,Yes,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,No,Partly
Male,45 - 64,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,Yes,Yes,No,Prefer not to say,Check Newsfeed,Yes,Partly
Male,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,Yes,No,Check Newsfeed,Yes,Partly
Male,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Freelancer,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",Facebook,Frequently,Yes,Yes,Yes,Yes,No,Chat,Yes,Greatly
Male,25 - 44,Freelancer,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops","facebooe,twitter,instagram,snapChat,Others",Frequently,Yes,Yes,Yes,Yes,Yes,"Check Newsfeed,Chat,Play games,Others",Yes,Greatly
Male,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,Yes,Yes,No,Yes,Check Newsfeed ,Yes,Greatly
Male,25 - 40,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",Others,Occasionally,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,1,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,No,No,Yes,"Check Newsfeed,Chat",No,Badly
Male,25 - 44,Freelancer,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)","facebook,instagram",Frequently,Yes,Yes,Yes,No,No,"Check Newsfeed,Chat",Yes,Greatly
Female,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,Laptops,facebook,Occasionally,Yes,No,No,Yes,Yes,"Check Newsfeed,Chat",No,Partly
Male,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc),Laptops",Facebook,Frequently,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",Facebook,Occasionally,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Great
Female,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc),Laptops",Twitter,Frequently,Yes,Yes,Yes,Prefer not to say,No,"Check Newsfeed,Chat",Yes,Greatly
Male,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops",Twitter,Frequently,Yes,Yes,Yes,Yes,Yes,Check Newsfeed ,No,Greatly
Male,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Twitter,Frequently,Yes,No,Yes,Prefer not to say,No,Check Newsfeed ,No,Partly
Male,25 - 44,Employed,More than 3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Facebook,Occasionally,No,No,Yes,No,No,Check Newsfeed ,No,Greatly
Male,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops",facebook,Frequently,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Partly
Male,45 - 64,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Others,Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Others,Occasionally,Yes,No,Yes,Yes,No,Chat,Yes,Partly
Male,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,Prefer not to say,Prefer not to say,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",,Occasionally,Yes,No,Yes,No,No,Others,Yes,Partly
Female,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops",facebook,Frequently,Yes,No,Yes,No,No,"Check Newsfeed,Chat",Yes,Greatly
Male,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Male,45 - 64,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",Facebook,Frequently,No,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Others,Frequently,Yes,No,No,No,No,Check Newsfeed ,No,Partly
Male,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc),Laptops",facebook,Frequently,Yes,Yes,Yes,Yes,Yes,"Check Newsfeed,Chat",Yes,Greatly
